id,account,asset,current_quantity,desired_quantity,global_desired_quantity,pending_quantity,allocated_quantity,price,min_nominal_funding,max_nominal_funding,max_nominal_exposure,max_nominal_difference,expected_quantity,native_difference,nominal_difference,nominal_pending,nominal_quantity,epoch,timestamp
55331759,YIELD_FARM,ACH,4676466.38393371,0.0,0.0,0.0,4676466.38393371,0.022252635569656648,,,,,4676466.38393371,0.0,0.0,0.0,104063.70219542687,23838,2025-03-11 12:55:00
55329322,COINMERCE,ACH,0.0,9033042.1146671,9033042.1146671,0.0,0.0,0.022252635569656648,,,,,0.0,0.0,0.0,0.0,0.0,23838,2025-03-11 12:55:00
55329951,CUSTODY,ACH,1433722.8298146,0.0,0.0,0.0,0.0,0.022252635569656648,,,,,1433722.8298146,0.0,0.0,0.0,31904.111639761155,23838,2025-03-11 12:55:00
55329323,COINMERCE,ACM,0.0,2080.9890662,2080.9890662,0.0,0.0,0.8621034973236325,,,,,0.0,0.0,0.0,0.0,0.0,23838,2025-03-11 12:55:00
55330360,EXCHANGES,ACM,0.29854193,0.0,0.0,0.0,0.0,0.8621034973236325,,,,,0.29854193,0.0,0.0,0.0,0.2573740419507471,23838,2025-03-11 12:55:00
55329952,CUSTODY,ACM,0.0,0.0,0.0,0.0,0.0,0.8621034973236325,,,,,0.0,0.0,0.0,0.0,0.0,23838,2025-03-11 12:55:00
55331276,SI,ACM,1472.9,308.9510402799996,0.0,0.0,1773.0,0.8621034973236325,,,,,2081.9510402799997,-609.0510402799996,-525.0650318739841,0.0,1269.7922412079783,23838,2025-03-11 12:55:00
55331277,SI,ACT,123293.5,122789.87265009001,0.0,-193.33140182495117,0.0,0.19903321855981138,,,,,122789.87265009001,696.9587517349428,138.7179435612342,-38.479371153900225,24539.502132504105,23838,2025-03-11 12:55:00
55329324,COINMERCE,ACT,0.0,122772.6165145,122772.6165145,0.0,0.0,0.19903321855981138,,,,,0.0,0.0,0.0,0.0,0.0,23838,2025-03-11 12:55:00
55329935,CONTANGO,ADA,8e-07,0.0,0.0,0.0,0.0,0.7166044503261462,,,,,8e-07,0.0,0.0,0.0,5.732835602609169e-07,23838,2025-03-11 12:55:00
