asset,diff_native_20250325,diff_native_20250326,diff_native_20250327,diff_native_20250328,diff_native_20250329,diff_native_20250330,diff_native_20250331,diff_native_20250401,diff_native_20250402,diff_native_20250403,20250402,diff_native_20250404,diff_native_20250405,diff_native_20250406,diff_native_20250301,diff_native_20250407,diff_native_20250408,diff_native_20250409,diff_native_20250410,diff_native_20250411,diff_native_20250412,diff_native_20250414,diff_native_20250413,diff_native_20250131,diff_native_20250415,diff_native_20250416,diff_native_20250422,diff_native_20250423,diff_native_20250424,diff_native_20250427,diff_native_20250426,diff_native_20250425,diff_native_20250428,diff_native_20250429,diff_native_20250430,diff_native_20250501,diff_native_20250505,diff_native_20250506,diff_native_20250507,diff_native_20250508,diff_native_20250509,diff_native_20250510,diff_native_20250511,diff_native_20250512,diff_native_20250513,diff_native_20250514,diff_native_20250515,diff_native_20250518,diff_native_20250519,diff_native_20250520,diff_native_20250521,diff_native_20250522,diff_native_20250525,diff_native_20250523,diff_native_20250524,diff_native_20250526,diff_native_20250527,diff_native_20250531,diff_native_20250530,diff_native_20250610,diff_native_20250611,diff_native_20250612,diff_native_20250613,diff_native_20250615,diff_native_20250614,diff_native_20250616,diff_native_20250617,diff_native_20250618,diff_native_20250529,diff_native_20250528,diff_native_20250619,diff_native_20250620
AE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,
AERGO,-414.9748994699912,-414.3792748800479,-414.3792748800479,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,-414.4706232600147,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,-871.6212762601208,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,0.60829076,8.715e-05,8.715e-05,8.715e-05,8.715e-05,8.715e-05,8.715e-05,8.715e-05,8.715e-05,8.715e-05,8.715e-05,8.715e-05,8.715e-05,8.715e-05,8.715e-05,8.715e-05
AERO,-1035.7561859059206,-1038.8144129920402,-1039.51439199,-2042.2612148415792,-1117.2612148400076,-1117.5323414025042,-1043.6653023062536,-1043.7489914009784,-1044.6806454379405,-1045.4862144585932,-1044.6806454379405,-1149.3743485100858,-1149.600080814489,-1054.3190768586355,-936.6522989431252,-1147.222162230246,-1147.3245688121533,-64.35771553663653,-1069.651713989675,-1070.3524822380132,-1073.8121994421526,-1076.2642799790628,-1076.1414903474215,-980.3260228555592,-1077.2642469300772,-1078.2282073403476,-1081.8856123000005,-1084.8661345519504,-1090.8099493678164,-1112.4267281749198,-1093.294508719613,-1091.925347383003,-1075.9461000810988,-1075.491903406335,-1096.2324717769952,-1114.467902317978,-1099.773914942023,-1100.2081241905107,-1101.1627244927513,-1101.3592646167672,-1116.4663282976253,-1120.3694568805222,-1135.897247032437,-1126.5204679800954,-1405.6784501481598,-1110.711947438016,-1111.7810939849005,-1114.1281854400004,-1114.55381743217,-1139.984490713454,-1097.5727983313554,-1117.1590299365637,-1150.2528789424105,-1123.352358206932,-1124.576054067933,-1125.951356780948,-1146.743713647273,-1152.449715107854,-1130.2896252666833,-661.9580731100286,-1137.1745946700105,-1163.585071539972,-1167.0118623999588,-1179.7045601899736,-1148.1778600800026,-1195.1435284999898,-1160.5648235600092,107.67333615000824,-1147.9766548062616,-1147.1044956513217,-1210.994573510019,-1262.1470485899772
AEVO,-328.61558993998915,-229.52787993999664,-371.9036209399928,-440.08997393999016,-421.2770379399881,-229.55217693999293,-89.95018693999737,58.128631060011685,-485.5065079399792,-229.5591859399865,-485.5065079399792,236.70187606001855,236.70187606001855,-560.2877979399927,-229.50911093998,-229.55876494001132,-229.56709694000892,128.41847706001136,128.41847706001136,-229.56152293999912,-229.5517159400042,-225.44772693997947,-229.56141894002212,-480.71699893999903,-699.0421399399929,-229.56322194001405,-229.56768293998903,-229.5624109399796,-229.5624109399796,-229.57181093998952,-229.57181093998952,-229.57181093998952,-229.56407993999892,-229.5731359400088,-74.30454094000743,-291.10295994000626,-229.5905779399909,-229.5905779399909,-229.5905779399909,-229.5889539399941,-45.47508793999441,-229.5789259400044,-513.5841549400066,-229.6092789399845,-229.58333893999225,-229.59749394000391,-312.24900293999235,-229.5842479400162,-229.5842479400162,-413.865243940003,42.64033205999294,-16.489550939993933,-797.8803789399972,-648.5652909400233,-648.5789819399943,-797.8803789399972,-785.5663269399956,-648.5777559400012,-648.5777559400012,-751.4967269400076,-877.8165189400315,-648.6047009400208,-969.0866289400146,-969.0866289400146,-969.0866289400146,-969.0866289400436,-648.6062839400256,-648.620201940008,-648.5777559400012,-785.5663269399956,-1175.0019229399913,-1175.0019229399911
AGIX,57.45688701,57.45688701,57.45688701,,,,57.45688701,57.45688701,57.45688701,57.45688701,57.45688701,,57.45688701,57.45688701,57.45688701,57.45688701,57.45688701,57.45688701,57.45688701,57.45688701,57.45688701,,57.45688701,57.45688701,57.45688701,,,,57.45688701,57.45688701,57.45688701,57.45688701,,57.45688701,57.45688701,57.45688701,,,,57.45688701,57.45688701,57.45688701,57.45688701,57.45688701,57.45688701,,,57.45688701,57.45688701,57.45688701,57.45688701,57.45688701,57.45688701,57.45688701,57.45688701,57.45688701,57.45688701,57.45688701,57.45688701,57.45688701,57.45688701,57.45688701,57.45688701,,57.45688701,57.45688701,57.45688701,57.45688701,57.45688701,57.45688701,57.45688701,57.45688701
AGLD,4229.897970397798,4218.897970397798,4218.897970397798,4218.897970397798,4207.897970397798,4207.897970397798,4207.897970397798,4207.897970397798,4207.897970397798,4243.366970397799,4207.897970397798,4243.366970397799,4243.366970397799,4243.366970397799,4208.824376397799,4208.739834397798,4208.766970397801,4145.3329483978,4145.3329483978,4208.732948397797,4208.732948397797,4208.811579397801,4208.732948397797,4208.8493003978,4173.698903397801,4173.698903397801,4208.798516397797,4208.798516397797,4208.706111397802,4208.7454113978,4208.7454113978,4168.706111397802,4208.7454113978,4208.842225397799,4208.842225397799,4198.369536397799,4198.369536397799,4198.369536397799,4198.369536397799,4198.369536397799,4198.369536397799,4208.780554397801,4198.385835397799,4198.385835397799,4208.8363553978,4208.8363553978,4208.8363553978,4208.8363553978,4208.8363553978,4208.8363553978,4208.891905397801,4166.5620323978,4166.5620323978,4166.5620323978,4166.5620323978,4153.8451953978,4208.8451953978,4208.8451953978,4208.8451953978,4208.697556397798,4208.697556397801,4208.697556397801,4208.697556397801,4208.697556397801,4208.697556397801,4208.697556397801,4208.697556397801,4209.177556397801,4208.8451953978,4208.8451953978,4208.5994543977995,4208.5994543977995
AI,7272.571700280008,7272.641500280006,7272.641500280006,7272.641500280006,7272.641500280006,7272.641500280006,7272.641500280006,7272.641500280006,7272.641500280006,7272.641500280006,7272.641500280006,7272.542695280004,7122.542695280004,7272.542695280004,7185.530036280004,7086.142984999999,7086.142984999999,7086.142984999999,7119.125128,7119.125128,7619.125128,7619.125128,7619.125128,7266.285933279993,7435.761157000001,7435.761157000001,7355.488503,7264.326512,7264.326512,7264.242358000003,7264.242358000003,7198.036617999998,7264.194314,7264.168329,7264.168329,7264.168329,7114.841981999998,7114.841981999998,7264.15526,7162.178437000002,7162.178437000002,7264.199489000002,7264.137790000001,7264.137789999997,7264.137789999997,7264.137789999997,7264.045469000004,7264.045469000004,7264.045469000004,7264.045469000004,7264.013761999995,7264.013761999995,7264.013761999995,7264.013761999995,7264.013761999995,7264.013761999995,7264.013761999995,7263.967100000002,7263.967100000002,7338.323253999995,7338.323254000003,7338.323253999995,7338.323253999995,7338.323254000003,7338.323253999995,7338.323253999995,7263.923254000001,7395.923254000001,7264.013761999995,7264.013761999995,7436.5947520000045,7436.5947520000045
AI16Z,-187.98653699998977,-197.89976000000024,-209.3216460000258,-312.78251299995463,-211.58313099999216,-424.50982400000794,-222.5545029999921,-222.8504889999749,-155.72849499998847,-225.10473200003617,-155.72849499998847,-372.89878099999623,-120.93714200000976,-533.0864780000411,-243.60179600000265,-308.7558549999958,-308.744544999965,-331.33823200000916,-338.1475929999724,-341.8800850000116,-342.11238800000865,-388.6801700000069,-144.8457819999894,-79.33837400001357,-388.6726879999624,-704.5762629999663,-412.6209830000007,-423.09502799998154,-423.67113599998993,-567.8817810000037,-455.1142090000212,-443.8302860000403,-494.8749179999577,-500.9599160000216,-81.31985899998108,-508.01885200000834,-518.7720199999749,-538.948589000036,-542.3402939999942,-546.8356849999982,-554.996753000014,-555.5257989999955,-571.5223070000065,-582.347815999994,-599.5036279999767,-601.9155509999837,-613.8014400000102,-644.3410469999653,-648.7015060000122,-649.1222449999768,-516.4453130000038,-658.8137989999959,-665.1954970000079,-699.1314789999742,-664.1427499999991,-800.3840999999666,-670.4746380000142,-682.1392389999819,-778.6885469999979,-656.042947000009,-773.0,-765.1325779999606,3704.614607000025,-801.7369259999832,-776.9878860000754,-802.18942900002,-879.0019950001733,-1022.129052000004,-777.9039629999897,-9083.74684799998,-808.3323019999079,-808.3323019999079
AIXBT,-105.47994098759956,-3.8435215475328737,-3.98040930001298,-205.20452119258695,-3.8586674115795176,-3.92163127718959,281.7556783098262,278.74915182279074,-4.847701147024054,-5.205315743747633,-4.847701147024054,-4.955223240889609,-4.856053318129852,-159.78524002514314,-2.155631972505944,-4.985240027017426,-435.43976274091983,-4.919811662810389,-4.881042130640708,-139.89539712877013,-4.793583809689153,-68.66663943498861,-4.809208809689153,-0.1140998701157514,-68.5732312318869,-68.57323123689275,-68.57682009751443,89.72702436731197,-4.918401434842963,163.48598649870837,-5.485446717066225,-5.175822725752369,-5.683266977837775,-6.075395893480163,-6.102513813762926,-87.00395513046533,184.87936867342796,-8.495775558927562,-8.50511024176376,-8.276966983801685,-7.991338042309508,-165.84426123974845,-108.43289107520832,-8.75900882401038,-144.52208794327453,-144.41069877898553,-144.79645317065297,-9.210007736750413,-9.46832072827965,-9.37973420677008,-9.465381563233676,-9.722547825309448,-133.59545862453524,-10.10163789789658,-133.5876888454659,-11.625599185936151,35.0771542431321,-13.885408835252749,-13.379547886550426,1424.5320122499834,-13.476242689997887,-44.46771334001096,-36.417428179993294,-13.112375180004165,-19.846647229976952,-151.07433065999066,-13.384526179987006,-13.426832820056006,-13.378991720848717,-13.287486410699785,-113.41101883002557,-121.25923164002596
AKRO,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498,0.35456498
