id,account,asset,current_quantity,desired_quantity,global_desired_quantity,pending_quantity,allocated_quantity,price,min_nominal_funding,max_nominal_funding,max_nominal_exposure,max_nominal_difference,expected_quantity,native_difference,nominal_difference,nominal_pending,nominal_quantity,epoch,timestamp
66509903,SI,ACH,3043783.13970409,2224041.6802368127,0.0,0.0,819757.13970409,0.02658057861110998,,,,,3043798.8199409028,-15.68023681268096,-0.4167897672402868,0.0,80905.51702007571,27903,2025-03-26 09:40:00
66507941,COINMERCE,ACH,0.0,9188790.7443571,9188790.7443571,0.0,0.0,0.02658057861110998,,,,,0.0,0.0,0.0,0.0,0.0,27903,2025-03-26 09:40:00
66508575,CUSTODY,ACH,1433722.8298146,0.0,0.0,0.0,0.0,0.02658057861110998,,,,,1433722.8298146,0.0,0.0,0.0,38109.18238443003,27903,2025-03-26 09:40:00
66507942,COINMERCE,ACM,0.0,2081.6265072,2081.6265072,0.0,0.0,0.9162721609950821,,,,,0.0,0.0,0.0,0.0,0.0,27903,2025-03-26 09:40:00
66508576,CUSTODY,ACM,0.0,0.0,0.0,0.0,0.0,0.9162721609950821,,,,,0.0,0.0,0.0,0.0,0.0,27903,2025-03-26 09:40:00
66508986,EXCHANGES,ACM,0.29854193,0.0,0.0,0.0,0.0,0.9162721609950821,,,,,0.29854193,0.0,0.0,0.0,0.27354565934874253,27903,2025-03-26 09:40:00
66509904,SI,ACM,1473.5,309.5884819199996,0.0,0.0,1773.0,0.9162721609950821,,,,,2082.5884819199996,-609.0884819199996,-558.090819566052,0.0,1350.1270292262536,27903,2025-03-26 09:40:00
66509905,SI,ACT,124337.9,123834.24969096,0.0,0.0,0.0,0.19486513151715523,,,,,123834.24969096,503.65030903999286,98.14388370973408,0.0,24229.121236066894,27903,2025-03-26 09:40:00
66507943,COINMERCE,ACT,0.0,123623.6621245,123623.6621245,0.0,0.0,0.19486513151715523,,,,,0.0,0.0,0.0,0.0,0.0,27903,2025-03-26 09:40:00
66507944,COINMERCE,ACX,0.0,63463.510216,63463.510216,0.0,0.0,0.30078479794243235,,,,,0.0,0.0,0.0,0.0,0.0,27903,2025-03-26 09:40:00
66507758,BLOX,ACX,0.0,35700.487411497736,35700.487411497736,0.0,0.0,0.30078479794243235,,,,,0.0,0.0,0.0,0.0,0.0,27903,2025-03-26 09:40:00
66509906,SI,ACX,99208.8,99212.09608458774,0.0,48.09832000732422,0.0,0.30078479794243235,,,,,99212.09608458774,-51.39440459506295,-15.458655601497627,14.467243464773466,29840.498862111184,27903,2025-03-26 09:40:00
66510346,STAKING,ADA,0.0,0.0,0.0,0.0,0.0,0.7695967038283248,,,,,0.0,0.0,0.0,0.0,0.0,27903,2025-03-26 09:40:00
66509907,SI,ADA,2946556.0273,-1423014.860478692,0.0,15.628989219665527,4365029.0,0.7695967038283248,,,,,2942014.1395213082,4526.258789472282,3483.3938450518517,12.028018587623011,2267659.8062555636,27903,2025-03-26 09:40:00
66510393,YIELD_FARM,ADA,13000125.0,0.0,0.0,0.0,13000125.0,0.7695967038283248,,,,,13000125.0,0.0,0.0,0.0,10004853.3493562,27903,2025-03-26 09:40:00
66509693,LENDING,ADA,26200813.85239287,0.0,0.0,0.0,0.0,0.7695967038283248,,,,,26200813.85239287,0.0,0.0,0.0,20164059.978421066,27903,2025-03-26 09:40:00
66508559,CONTANGO,ADA,8e-07,0.0,0.0,0.0,0.0,0.7695967038283248,,,,,8e-07,0.0,0.0,0.0,6.156773630626598e-07,27903,2025-03-26 09:40:00
66507945,COINMERCE,ADA,0.0,36581034.959942,36581034.959942,0.0,0.0,0.7695967038283248,,,,,0.0,0.0,0.0,0.0,0.0,27903,2025-03-26 09:40:00
66508577,CUSTODY,ADA,1933674.9874809987,0.0,0.0,0.0,0.0,0.7695967038283248,,,,,1933674.9874809987,0.0,0.0,0.0,1488149.8966406537,27903,2025-03-26 09:40:00
66508987,EXCHANGES,ADA,58773.92855079502,0.0,0.0,0.0,0.0,0.7695967038283248,,,,,58773.92855079502,0.0,0.0,0.0,45232.22168373332,27903,2025-03-26 09:40:00
66509470,HOT_VAULT,ADA,174748.13891100002,0.0,0.0,0.0,0.0,0.7695967038283248,,,,,174748.13891100002,0.0,0.0,0.0,134485.59170603985,27903,2025-03-26 09:40:00
66507759,BLOX,ADA,0.0,7610302.19243429,7610302.19243429,0.0,0.0,0.7695967038283248,,,,,0.0,0.0,0.0,0.0,0.0,27903,2025-03-26 09:40:00
